,measure_id,measure_name,location_id,location_name,cause_id,cause_name,metric_id,metric_name,year,GBD_val,upper,lower,WBLocation,Country Code,GDP_value,Lvl1_category
7385,4,YLLs (Years of Life Lost),44575,World Bank High Income,688,Transport injuries,3,Rate,2017,443.366554589359,459.71280336162874,422.3904231436207,High income,HIC,41539.849180000005,Injuries
14945,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,688,Transport injuries,3,Rate,2017,870.3535662926287,911.8811211201726,828.7426207917626,Lower middle income,LMC,2188.37893,Injuries
16289,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,688,Transport injuries,3,Rate,2017,846.9610007388154,869.0680554184627,823.5051335870229,Middle income,MIC,4991.833589,Injuries
17801,4,YLLs (Years of Life Lost),44578,World Bank Low Income,688,Transport injuries,3,Rate,2017,1042.3065727243247,1136.57989907646,950.50373456664,Low income,LIC,745.9429763999999,Injuries
41489,4,YLLs (Years of Life Lost),44575,World Bank High Income,696,Unintentional injuries,3,Rate,2017,448.29620831829214,458.877091361126,439.9832703519291,High income,HIC,41539.849180000005,Injuries
49049,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,696,Unintentional injuries,3,Rate,2017,1106.157605196187,1172.3483799042933,1007.7396892998607,Lower middle income,LMC,2188.37893,Injuries
50393,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,696,Unintentional injuries,3,Rate,2017,792.4526272748776,820.3655524483916,737.1382115234129,Middle income,MIC,4991.833589,Injuries
51905,4,YLLs (Years of Life Lost),44578,World Bank Low Income,696,Unintentional injuries,3,Rate,2017,1268.1369672089936,1377.4775271245514,1161.939864542225,Low income,LIC,745.9429763999999,Injuries
75593,4,YLLs (Years of Life Lost),44575,World Bank High Income,526,Digestive diseases,3,Rate,2017,705.7020013133138,724.3839896694392,683.2548044481805,High income,HIC,41539.849180000005,Non-communicable diseases
83153,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,526,Digestive diseases,3,Rate,2017,1053.2138763348835,1145.7991008306724,980.9182503813278,Lower middle income,LMC,2188.37893,Non-communicable diseases
84497,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,526,Digestive diseases,3,Rate,2017,671.0437924973997,727.4059484718805,649.5889015255334,Middle income,MIC,4991.833589,Non-communicable diseases
86009,4,YLLs (Years of Life Lost),44578,World Bank Low Income,526,Digestive diseases,3,Rate,2017,937.0844168375417,1013.1845795479717,857.8211775971878,Low income,LIC,745.9429763999999,Non-communicable diseases
109697,4,YLLs (Years of Life Lost),44575,World Bank High Income,542,Neurological disorders,3,Rate,2017,983.5049524218075,1002.131020960668,956.5382205091639,High income,HIC,41539.849180000005,Non-communicable diseases
117257,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,542,Neurological disorders,3,Rate,2017,341.8180886144419,372.4935926470282,324.317927182596,Lower middle income,LMC,2188.37893,Non-communicable diseases
118601,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,542,Neurological disorders,3,Rate,2017,501.57773712728476,513.7478861103781,490.84200156504926,Middle income,MIC,4991.833589,Non-communicable diseases
120113,4,YLLs (Years of Life Lost),44578,World Bank Low Income,542,Neurological disorders,3,Rate,2017,341.4752000225,379.75621376556956,312.8262857480397,Low income,LIC,745.9429763999999,Non-communicable diseases
143801,4,YLLs (Years of Life Lost),44575,World Bank High Income,558,Mental disorders,3,Rate,2017,0.9518895256088424,1.0373934835595209,0.8413539132408592,High income,HIC,41539.849180000005,Non-communicable diseases
151361,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,558,Mental disorders,3,Rate,2017,0.053057519044442884,0.09620103280238257,0.026613693483475337,Lower middle income,LMC,2188.37893,Non-communicable diseases
152705,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,558,Mental disorders,3,Rate,2017,0.16610105901341224,0.18638956478403854,0.1450300000904304,Middle income,MIC,4991.833589,Non-communicable diseases
154217,4,YLLs (Years of Life Lost),44578,World Bank Low Income,558,Mental disorders,3,Rate,2017,0.020050037302091053,0.04681388861992533,0.012541765430749313,Low income,LIC,745.9429763999999,Non-communicable diseases
177905,4,YLLs (Years of Life Lost),44575,World Bank High Income,973,Substance use disorders,3,Rate,2017,435.3160592721009,448.4365175170192,423.53896561982236,High income,HIC,41539.849180000005,Non-communicable diseases
185465,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,973,Substance use disorders,3,Rate,2017,104.52649471363695,112.30925157837132,94.42465631181236,Lower middle income,LMC,2188.37893,Non-communicable diseases
186809,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,973,Substance use disorders,3,Rate,2017,179.06644114443284,185.7965449393657,170.64068287393582,Middle income,MIC,4991.833589,Non-communicable diseases
188321,4,YLLs (Years of Life Lost),44578,World Bank Low Income,973,Substance use disorders,3,Rate,2017,61.307688632966965,69.80903600498343,54.881431845190896,Low income,LIC,745.9429763999999,Non-communicable diseases
212009,4,YLLs (Years of Life Lost),44575,World Bank High Income,974,Diabetes and kidney diseases,3,Rate,2017,581.0905681626438,591.7703964321354,571.7210542156148,High income,HIC,41539.849180000005,Non-communicable diseases
219569,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,974,Diabetes and kidney diseases,3,Rate,2017,899.655783931711,931.3884291634558,869.4693849535482,Lower middle income,LMC,2188.37893,Non-communicable diseases
220913,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,974,Diabetes and kidney diseases,3,Rate,2017,695.308684368805,708.4449601238283,682.2303692833535,Middle income,MIC,4991.833589,Non-communicable diseases
222425,4,YLLs (Years of Life Lost),44578,World Bank Low Income,974,Diabetes and kidney diseases,3,Rate,2017,694.3126274912902,735.6345098008701,656.8028196794708,Low income,LIC,745.9429763999999,Non-communicable diseases
246113,4,YLLs (Years of Life Lost),44575,World Bank High Income,955,HIV/AIDS and sexually transmitted infections,3,Rate,2017,51.82334411024727,54.85324827631298,50.29540345819961,High income,HIC,41539.849180000005,"Communicable, maternal, neonatal, and nutritional diseases"
253673,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,955,HIV/AIDS and sexually transmitted infections,3,Rate,2017,898.6219184774902,1067.2667240446667,764.3681670058103,Lower middle income,LMC,2188.37893,"Communicable, maternal, neonatal, and nutritional diseases"
255017,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,955,HIV/AIDS and sexually transmitted infections,3,Rate,2017,499.1309285754929,544.5637574156125,459.1944286719772,Middle income,MIC,4991.833589,"Communicable, maternal, neonatal, and nutritional diseases"
256529,4,YLLs (Years of Life Lost),44578,World Bank Low Income,955,HIV/AIDS and sexually transmitted infections,3,Rate,2017,2799.5345206976435,3325.0161301645217,2377.082161482342,Low income,LIC,745.9429763999999,"Communicable, maternal, neonatal, and nutritional diseases"
280217,4,YLLs (Years of Life Lost),44575,World Bank High Income,956,Respiratory infections and tuberculosis,3,Rate,2017,457.9359739615824,469.32995066927725,448.49046051382584,High income,HIC,41539.849180000005,"Communicable, maternal, neonatal, and nutritional diseases"
287777,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,956,Respiratory infections and tuberculosis,3,Rate,2017,2844.4260992927148,3021.3962689332866,2682.6444220923595,Lower middle income,LMC,2188.37893,"Communicable, maternal, neonatal, and nutritional diseases"
289121,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,956,Respiratory infections and tuberculosis,3,Rate,2017,640.4790203634021,667.7829774290914,622.8309173122316,Middle income,MIC,4991.833589,"Communicable, maternal, neonatal, and nutritional diseases"
290633,4,YLLs (Years of Life Lost),44578,World Bank Low Income,956,Respiratory infections and tuberculosis,3,Rate,2017,5543.650615989747,5968.485207867798,5118.15492998365,Low income,LIC,745.9429763999999,"Communicable, maternal, neonatal, and nutritional diseases"
314321,4,YLLs (Years of Life Lost),44575,World Bank High Income,957,Enteric infections,3,Rate,2017,34.691527233253844,36.859108403785065,32.81984309377146,High income,HIC,41539.849180000005,"Communicable, maternal, neonatal, and nutritional diseases"
321881,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,957,Enteric infections,3,Rate,2017,1830.840580601877,2247.9996091926128,1567.8884749698225,Lower middle income,LMC,2188.37893,"Communicable, maternal, neonatal, and nutritional diseases"
323225,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,957,Enteric infections,3,Rate,2017,95.41644901369062,116.41659394821545,83.41379299991105,Middle income,MIC,4991.833589,"Communicable, maternal, neonatal, and nutritional diseases"
324737,4,YLLs (Years of Life Lost),44578,World Bank Low Income,957,Enteric infections,3,Rate,2017,3676.057280260613,4240.561187256955,3122.0165258269703,Low income,LIC,745.9429763999999,"Communicable, maternal, neonatal, and nutritional diseases"
348425,4,YLLs (Years of Life Lost),44575,World Bank High Income,961,Other infectious diseases,3,Rate,2017,55.154876393510044,59.154610894387424,51.6184437712416,High income,HIC,41539.849180000005,"Communicable, maternal, neonatal, and nutritional diseases"
355985,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,961,Other infectious diseases,3,Rate,2017,1010.0643289669192,1197.5788331289239,858.9347838339439,Lower middle income,LMC,2188.37893,"Communicable, maternal, neonatal, and nutritional diseases"
357329,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,961,Other infectious diseases,3,Rate,2017,124.30045380682249,138.42771893315552,114.68657072255007,Middle income,MIC,4991.833589,"Communicable, maternal, neonatal, and nutritional diseases"
358841,4,YLLs (Years of Life Lost),44578,World Bank Low Income,961,Other infectious diseases,3,Rate,2017,2625.082597599101,3310.103157383065,2071.5826753033216,Low income,LIC,745.9429763999999,"Communicable, maternal, neonatal, and nutritional diseases"
382529,4,YLLs (Years of Life Lost),44575,World Bank High Income,962,Maternal and neonatal disorders,3,Rate,2017,214.20032364403502,226.37543071824928,200.49761755694837,High income,HIC,41539.849180000005,"Communicable, maternal, neonatal, and nutritional diseases"
390089,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,962,Maternal and neonatal disorders,3,Rate,2017,3399.290441435261,3590.015022852533,3205.423758072168,Lower middle income,LMC,2188.37893,"Communicable, maternal, neonatal, and nutritional diseases"
391433,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,962,Maternal and neonatal disorders,3,Rate,2017,611.6090727323137,636.0767193420071,585.482129016375,Middle income,MIC,4991.833589,"Communicable, maternal, neonatal, and nutritional diseases"
392945,4,YLLs (Years of Life Lost),44578,World Bank Low Income,962,Maternal and neonatal disorders,3,Rate,2017,6411.794752323882,6901.066741471739,5954.070798842033,Low income,LIC,745.9429763999999,"Communicable, maternal, neonatal, and nutritional diseases"
416633,4,YLLs (Years of Life Lost),44575,World Bank High Income,410,Neoplasms,3,Rate,2017,4442.407192926308,4515.288460520198,4377.265776748328,High income,HIC,41539.849180000005,Non-communicable diseases
424193,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,410,Neoplasms,3,Rate,2017,2031.1323846623557,2105.892130540447,1958.483595133633,Lower middle income,LMC,2188.37893,Non-communicable diseases
425537,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,410,Neoplasms,3,Rate,2017,3666.384686919367,3757.297246444184,3569.9846185980628,Middle income,MIC,4991.833589,Non-communicable diseases
427049,4,YLLs (Years of Life Lost),44578,World Bank Low Income,410,Neoplasms,3,Rate,2017,1759.2114827932578,1878.385520274057,1635.6094904408096,Low income,LIC,745.9429763999999,Non-communicable diseases
450737,4,YLLs (Years of Life Lost),44575,World Bank High Income,717,Self-harm and interpersonal violence,3,Rate,2017,685.756972999103,699.7527469309442,669.3203462391796,High income,HIC,41539.849180000005,Injuries
458297,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,717,Self-harm and interpersonal violence,3,Rate,2017,846.445043696595,884.7071351958203,779.5884437119299,Lower middle income,LMC,2188.37893,Injuries
459641,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,717,Self-harm and interpersonal violence,3,Rate,2017,904.7402458690573,933.2592207504152,884.7224300955521,Middle income,MIC,4991.833589,Injuries
461153,4,YLLs (Years of Life Lost),44578,World Bank Low Income,717,Self-harm and interpersonal violence,3,Rate,2017,797.0105598953293,863.6167076738752,722.4611147913855,Low income,LIC,745.9429763999999,Injuries
484841,4,YLLs (Years of Life Lost),44575,World Bank High Income,491,Cardiovascular diseases,3,Rate,2017,3639.1551895834205,3701.3238761490943,3584.077840926695,High income,HIC,41539.849180000005,Non-communicable diseases
492401,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,491,Cardiovascular diseases,3,Rate,2017,4385.449995307546,4507.127878193271,4262.792109665107,Lower middle income,LMC,2188.37893,Non-communicable diseases
493745,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,491,Cardiovascular diseases,3,Rate,2017,4978.675299444835,5078.162347212778,4883.281230613256,Middle income,MIC,4991.833589,Non-communicable diseases
495257,4,YLLs (Years of Life Lost),44578,World Bank Low Income,491,Cardiovascular diseases,3,Rate,2017,2602.7743550009573,2736.2162773715067,2474.252420969578,Low income,LIC,745.9429763999999,Non-communicable diseases
518945,4,YLLs (Years of Life Lost),44575,World Bank High Income,508,Chronic respiratory diseases,3,Rate,2017,653.8099741864594,668.6163664173301,641.838114062905,High income,HIC,41539.849180000005,Non-communicable diseases
526505,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,508,Chronic respiratory diseases,3,Rate,2017,1148.1092800986721,1209.8117069790342,1087.429317443841,Lower middle income,LMC,2188.37893,Non-communicable diseases
527849,4,YLLs (Years of Life Lost),44576,World Bank Upper Middle Income,508,Chronic respiratory diseases,3,Rate,2017,763.1796688615688,820.780498769267,738.2403983730228,Middle income,MIC,4991.833589,Non-communicable diseases
529361,4,YLLs (Years of Life Lost),44578,World Bank Low Income,508,Chronic respiratory diseases,3,Rate,2017,598.8954437359181,665.5630474149564,544.4832248119649,Low income,LIC,745.9429763999999,Non-communicable diseases
553049,4,YLLs (Years of Life Lost),44575,World Bank High Income,626,Musculoskeletal disorders,3,Rate,2017,45.31947490516947,46.438348179996176,44.07374437819235,High income,HIC,41539.849180000005,Non-communicable diseases
560609,4,YLLs (Years of Life Lost),44577,World Bank Lower Middle Income,626,Musculoskeletal disorders,3,Rate,2017,37.19969249628255,39.82050261365421,28.937778391561192,Lower middle income,LMC,2188.37893,Non-communicable diseases
